name;a;b;date
Melgar de Arriba;0;3849;2020-08-01
Pollos;661;7428;2020-08-01
Valverde de Campos;0;1987;2020-08-01
La Parrilla;178;6700;2020-08-01
San Martín de Valvení;662;2553;2020-08-01
Geria;0;3676;2020-08-01
Valdearcos de la Vega;99;1013;2020-08-01
Castrillo de Duero;520;4077;2020-08-01
Viloria;235;4919;2020-08-01
Camporredondo;283;3294;2020-08-01
Viana de Cega;866;26292;2020-08-01
Morales de Campos;0;2451;2020-08-01
Urones de Castroponce;0;2882;2020-08-01
Villafrechós;0;6620;2020-08-01
San Pablo de la Moraleja;181;2539;2020-08-01
La Pedraja de Portillo;1969;10957;2020-08-01
Villalán de Campos;0;1389;2020-08-01
Mucientes;16;7066;2020-08-01
Fombellida;712;3680;2020-08-01
Herrín de Campos;0;2868;2020-08-01
Corcos;2854;5779;2020-08-01
Tordesillas;473;69810;2020-08-01
Nava del Rey;1067;14579;2020-08-01
Torrescárcela;69;1874;2020-08-01
Villanueva de Duero;6956;22445;2020-08-01
Canillas de Esgueva;318;2781;2020-08-01
Valladolid;33550;439389;2020-08-01
Villavellid;0;1856;2020-08-01
Barcial de la Loma;0;3307;2020-08-01
San Pelayo;0;1198;2020-08-01
Melgar de Abajo;0;3539;2020-08-01
Laguna de Duero;6240;83257;2020-08-01
Rueda;3458;17135;2020-08-01
Villabáñez;969;10713;2020-08-01
Villacarralón;0;2314;2020-08-01
Villafuerte;415;2317;2020-08-01
Olmedo;3087;20065;2020-08-01
Cabreros del Monte;0;2699;2020-08-01
Barruelo del Valle;0;1881;2020-08-01
Valdunquillo;0;4504;2020-08-01
Curiel de Duero;881;3239;2020-08-01
Cogeces de Íscar;495;2678;2020-08-01
Castronuevo de Esgueva;826;6184;2020-08-01
Amusquillo;418;2616;2020-08-01
Quintanilla de Trigueros;0;1550;2020-08-01
Adalia;0;2675;2020-08-01
Velilla;0;2119;2020-08-01
Villardefrades;0;2962;2020-08-01
Bocigas;34;1718;2020-08-01
Pedrajas de San Esteban;745;24696;2020-08-01
La Mudarra;0;2396;2020-08-01
Pozuelo de la Orden;0;2335;2020-08-01
Valdestillas;1342;13621;2020-08-01
Villagómez la Nueva;0;3923;2020-08-01
Carpio;887;10362;2020-08-01
Manzanillo;36;648;2020-08-01
Nueva Villa de las Torres;135;3705;2020-08-01
Villalbarba;0;3397;2020-08-01
Arroyo de la Encomienda;2761;67686;2020-08-01
Torre de Peñafiel;388;2717;2020-08-01
Vega de Ruiponce;0;3695;2020-08-01
Trigueros del Valle;1190;4524;2020-08-01
Ceinos de Campos;0;4872;2020-08-01
Quintanilla del Molar;0;1398;2020-08-01
Encinas de Esgueva;1142;4824;2020-08-01
Villalba de la Loma;0;1981;2020-08-01
Saelices de Mayorga;0;3405;2020-08-01
Villafrades de Campos;0;4059;2020-08-01
Robladillo;0;1128;2020-08-01
Peñafiel;5068;28069;2020-08-01
Villacid de Campos;0;2871;2020-08-01
Bocos de Duero;369;663;2020-08-01
Castromembibre;0;2379;2020-08-01
San Pedro de Latarce;0;7105;2020-08-01
Berrueces;0;3099;2020-08-01
Fuensaldaña;0;26033;2020-08-01
Fompedraza;523;2364;2020-08-01
Ventosa de la Cuesta;586;2330;2020-08-01
Moraleja de las Panaderas;564;1321;2020-08-01
Íscar;2643;32892;2020-08-01
Moral de la Reina;0;4147;2020-08-01
Berceruelo;0;1476;2020-08-01
Santibáñez de Valcorba;377;3821;2020-08-01
Santovenia de Pisuerga;4935;17195;2020-08-01
Puras;0;686;2020-08-01
Torrecilla de la Torre;0;725;2020-08-01
San Miguel del Arroyo;1898;12564;2020-08-01
Mota del Marqués;0;6121;2020-08-01
Pozaldez;431;7342;2020-08-01
Roales de Campos;0;3669;2020-08-01
Villavaquerín;106;1964;2020-08-01
Rubí de Bracamonte;12;3250;2020-08-01
Castroponce;0;3690;2020-08-01
Medina de Rioseco;0;23031;2020-08-01
Valoria la Buena;538;6259;2020-08-01
Aldea de San Miguel;228;4421;2020-08-01
Vega de Valdetronco;0;1956;2020-08-01
Piñel de Abajo;37;2525;2020-08-01
Becilla de Valderaduey;0;5904;2020-08-01
Tordehumos;0;6701;2020-08-01
Cervillego de la Cruz;636;3276;2020-08-01
Fontihoyuelo;0;1700;2020-08-01
Villaco;538;1687;2020-08-01
Piñel de Arriba;170;2487;2020-08-01
